"quarter","gdp_date","cpi_date_first_month","real_gdp","cpi_first_month","cpi_quarter_average","fedfunds_first_month_business_day_avg","gdp_log_diff_pct","cpi_first_month_log_diff_pct","cpi_quarter_average_log_diff_pct","gdp_log_diff_annualized_pct","cpi_first_month_log_diff_annualized_pct","cpi_quarter_average_log_diff_annualized_pct"
"1981Q4",1981-10-01,1981-10-01,7410.768,93.4,93.7666666666667,15.0145454545455,-1.09557631202328,2.0552372953321,1.61264917522965,-4.38230524809313,8.22094918132841,6.45059670091861
"1982Q1",1982-01-01,1982-01-01,7295.631,94.4,94.6,13.2561904761905,-1.56584018269079,1.06497279166584,0.884804923013149,-6.26336073076317,4.25989116666337,3.5392196920526
"1982Q2",1982-04-01,1982-04-01,7328.912,95,95.9666666666667,14.8959090909091,0.455139794138049,0.633581844908537,1.43434328921872,1.82055917655219,2.53432737963415,5.73737315687488
"1982Q3",1982-07-01,1982-07-01,7300.896,97.5,97.6333333333333,12.5854545454545,-0.38299934280559,2.59754864032606,1.72180562155582,-1.53199737122236,10.3901945613043,6.88722248622327
"1982Q4",1982-10-01,1982-10-01,7303.817,98.1,97.9333333333333,9.68571428571429,0.0400007865810181,0.613498856751615,0.306800990608913,0.160003146324073,2.45399542700646,1.22720396243565
"1983Q1",1983-01-01,1983-01-01,7400.066,97.9,98,8.57333333333333,1.30918308749912,-0.204081703485315,0.0680503598904814,5.23673234999649,-0.816326813941259,0.272201439561925
"1983Q2",1983-04-01,1983-04-01,7568.456,98.8,99.1333333333333,8.8,2.25001645449137,0.915105521735793,1.14982666873731,9.00006581796546,3.66042208694317,4.59930667494923
"1983Q3",1983-07-01,1983-07-01,7719.746,99.8,100.1,9.36761904761905,1.97923783068283,1.00705785635959,0.970394096322913,7.91695132273134,4.02823142543838,3.88157638529165
"1983Q4",1983-10-01,1983-10-01,7880.794,100.8,101.1,9.42190476190476,2.06471982740037,0.997017231984998,0.994043970525116,8.2588793096015,3.98806892793999,3.97617588210046
"1984Q1",1984-01-01,1984-01-01,8034.847,102.1,102.533333333333,9.59772727272727,1.93592971005696,1.28143695333511,1.40778229369536,7.74371884022784,5.12574781334045,5.63112917478144
"1984Q2",1984-04-01,1984-04-01,8173.67,103.3,103.5,10.3214285714286,1.7130055100596,1.16846509549733,0.938366374204413,6.85202204023838,4.67386038198931,3.75346549681765
"1984Q3",1984-07-01,1984-07-01,8252.465,104.1,104.4,11.2868181818182,0.959393118098717,0.771459949533071,0.86580627431152,3.83757247239487,3.08583979813228,3.46322509724608
"1984Q4",1984-10-01,1984-10-01,8320.199,105.1,105.3,10.0108695652174,0.817422921914179,0.956030226198212,0.858374369139092,3.26969168765672,3.82412090479285,3.43349747655637
"1985Q1",1985-01-01,1985-01-01,8400.82,105.7,106.266666666667,8.39304347826087,0.964314731614735,0.569261499328633,0.913823910802058,3.85725892645894,2.27704599731453,3.65529564320823
"1985Q2",1985-04-01,1985-04-01,8474.787,107,107.233333333333,8.33090909090909,0.876620007486117,1.22239415857139,0.905548732892125,3.50648002994447,4.88957663428558,3.6221949315685
"1985Q3",1985-07-01,1985-07-01,8604.22,107.7,107.9,7.92695652173913,1.51572603738277,0.652074970043692,0.61977266872173,6.06290414953108,2.60829988017477,2.47909067488692
"1985Q4",1985-10-01,1985-10-01,8668.188,108.5,109,8.02173913043478,0.740699182869164,0.740058881817163,1.01430099650548,2.96279673147666,2.96023552726865,4.05720398602192
"1986Q1",1986-01-01,1986-01-01,8749.127,109.9,109.566666666667,8.21260869565217,0.929415155361291,1.28206884290618,0.51853097729202,3.71766062144516,5.12827537162472,2.07412390916808
"1986Q2",1986-04-01,1986-04-01,8788.524,108.7,109.033333333333,7.04454545454545,0.449285554507561,-1.09790672824124,-0.487954612583508,1.79714221803025,-4.39162691296495,-1.95181845033403
"1986Q3",1986-07-01,1986-07-01,8872.601,109.5,109.7,6.57521739130435,0.952120945350288,0.73327551293918,0.60957214049564,3.80848378140115,2.93310205175672,2.43828856198256
"1986Q4",1986-10-01,1986-10-01,8920.193,110.2,110.466666666667,5.85826086956522,0.534959416711622,0.637234746225879,0.696444904316795,2.13983766684649,2.54893898490351,2.78577961726718
"1987Q1",1987-01-01,1987-01-01,8986.367,111.4,111.8,6.55363636363636,0.739106799354161,1.08304307743694,1.19977443966457,2.95642719741664,4.33217230974776,4.79909775865828
"1987Q2",1987-04-01,1987-04-01,9083.256,112.7,113.066666666667,6.43636363636364,1.07240675207461,1.16020935525469,1.12660545286394,4.28962700829842,4.64083742101877,4.50642181145575
"1987Q3",1987-07-01,1987-07-01,9162.024,113.8,114.266666666667,6.58391304347826,0.86343963330755,0.971310064649966,1.05572828058769,3.4537585332302,3.88524025859986,4.22291312235075
"1987Q4",1987-10-01,1987-10-01,9319.332,115,115.333333333333,7.28318181818182,1.70238373325571,1.04896066710198,0.929158833409982,6.80953493302283,4.19584266840793,3.71663533363993
"1988Q1",1988-01-01,1988-01-01,9367.502,116,116.233333333333,6.85571428571429,0.515551288075322,0.865806274311431,0.777317862388127,2.06220515230129,3.46322509724573,3.10927144955251
"1988Q2",1988-04-01,1988-04-01,9490.594,117.2,117.566666666667,6.89190476190476,1.30547376755246,1.02916860365481,1.14058835604007,5.22189507020983,4.11667441461923,4.56235342416029
"1988Q3",1988-07-01,1988-07-01,9546.206,118.5,119,7.74571428571429,0.584259520477559,1.10310834322735,1.21179445376329,2.33703808191024,4.41243337290942,4.84717781505317
"1988Q4",1988-10-01,1988-10-01,9673.405,119.9,120.3,8.29047619047619,1.32365693740351,1.17451014582821,1.08651298691038,5.29462774961402,4.69804058331285,4.34605194764153
"1989Q1",1989-01-01,1989-01-01,9771.725,121.2,121.666666666667,9.14363636363636,1.01126439262114,1.07840116017455,1.1296441933748,4.04505757048454,4.31360464069819,4.51857677349921
"1989Q2",1989-04-01,1989-04-01,9846.293,123.1,123.633333333333,9.839,0.760202780034724,1.55549595551943,1.60351309130542,3.0408111201389,6.2219838220777,6.41405236522168
"1989Q3",1989-07-01,1989-07-01,9919.228,124.5,124.6,9.23142857142857,0.738005651708917,1.1308682714354,0.778841052591694,2.95202260683567,4.52347308574161,3.11536421036678
"1989Q4",1989-10-01,1989-10-01,9938.767,125.4,125.866666666667,8.83909090909091,0.196787302096091,0.720291229405845,1.01145392498836,0.787149208384363,2.88116491762338,4.04581569995344
"1990Q1",1990-01-01,1990-01-01,10047.386,127.5,128.033333333333,8.24,1.08695324620918,1.66077363996608,1.7067501080513,4.34781298483671,6.64309455986434,6.82700043220521
"1990Q2",1990-04-01,1990-04-01,10083.855,128.9,129.3,8.26809523809524,0.362312883683913,1.09205453466608,0.98446390940623,1.44925153473565,4.3682181386643,3.93785563762492
"1990Q3",1990-07-01,1990-07-01,10090.569,130.5,131.533333333333,8.155,0.0665595235616934,1.23363168176063,1.71250191425933,0.266238094246773,4.93452672704251,6.85000765703734
"1990Q4",1990-10-01,1990-10-01,9998.704,133.4,133.766666666667,8.13869565217391,-0.914574064807105,2.19789067187754,1.68366836843568,-3.65829625922842,8.79156268751018,6.7346734737427
"1991Q1",1991-01-01,1991-01-01,9951.916,134.7,134.766666666667,6.98782608695652,-0.469038914850728,0.969794993479489,0.74478993738536,-1.87615565940291,3.87917997391796,2.97915974954144
"1991Q2",1991-04-01,1991-04-01,10029.51,135.1,135.566666666667,5.96590909090909,0.776665189406245,0.29651615498345,0.591863626645406,3.10666075762498,1.1860646199338,2.36745450658162
"1991Q3",1991-07-01,1991-07-01,10080.195,136.2,136.6,5.8395652173913,0.504086035340556,0.810914874925839,0.759342289162035,2.01634414136223,3.24365949970336,3.03736915664814
"1991Q4",1991-10-01,1991-10-01,10115.329,137.2,137.733333333333,5.2304347826087,0.34793883481079,0.731532157637282,0.826250144068386,1.39175533924316,2.92612863054913,3.30500057627354
"1992Q1",1992-01-01,1992-01-01,10236.435,138.3,138.666666666667,4.08608695652174,1.19014184214254,0.798552337892833,0.67535230157798,4.76056736857018,3.19420935157133,2.70140920631192
"1992Q2",1992-04-01,1992-04-01,10347.429,139.4,139.733333333333,3.80909090909091,1.07846685927111,0.792225965571092,0.766287274556898,4.31386743708444,3.16890386228437,3.06514909822759
"1992Q3",1992-07-01,1992-07-01,10449.673,140.5,140.8,3.32086956521739,0.983260299874544,0.785999044737729,0.760459938522029,3.93304119949818,3.14399617895091,3.04183975408812
"1992Q4",1992-10-01,1992-10-01,10558.648,141.7,142.033333333333,3.13681818181818,1.03745537233149,0.850465792283384,0.872132811381388,4.14982148932594,3.40186316913353,3.48853124552555
"1993Q1",1993-01-01,1993-01-01,10576.275,142.8,143.066666666667,3.09,0.166804526206121,0.773290320884978,0.724895025067696,0.667218104824485,3.09316128353991,2.89958010027078
"1993Q2",1993-04-01,1993-04-01,10637.847,143.8,144.1,2.975,0.580482877342448,0.697839538146194,0.719678091704257,2.32193150936979,2.79135815258478,2.87871236681703
"1993Q3",1993-07-01,1993-07-01,10688.606,144.5,144.766666666667,3.08590909090909,0.476020047476133,0.485606226554047,0.461574786719066,1.90408018990453,1.94242490621619,1.84629914687626
"1993Q4",1993-10-01,1993-10-01,10833.987,145.6,145.966666666667,2.98809523809524,1.35098230200761,0.75836282100985,0.825503426657637,5.40392920803043,3.0334512840394,3.30201370663055
"1994Q1",1994-01-01,1994-01-01,10939.116,146.3,146.7,3.10809523809524,0.965685203258815,0.479617226349305,0.501140000969258,3.86274081303526,1.91846890539722,2.00456000387703
"1994Q2",1994-04-01,1994-04-01,11087.361,147.2,147.533333333333,3.54761904761905,1.3460821575336,0.613289826869767,0.566445379990377,5.3843286301344,2.45315930747907,2.26578151996151
"1994Q3",1994-07-01,1994-07-01,11152.176,148.4,148.9,4.29142857142857,0.582882489940673,0.811912443850371,0.922080074112408,2.33152995976269,3.24764977540148,3.68832029644963
"1994Q4",1994-10-01,1994-10-01,11279.932,149.4,149.766666666667,4.72571428571429,1.13905818667881,0.671594196543701,0.580358771804157,4.55623274671524,2.6863767861748,2.32143508721663
"1995Q1",1995-01-01,1995-01-01,11319.951,150.5,150.866666666667,5.56136363636364,0.354152646081296,0.733581149021312,0.731791712332264,1.41661058432518,2.93432459608525,2.92716684932905
"1995Q2",1995-04-01,1995-04-01,11353.721,151.8,152.1,6.039,0.297878746508928,0.860078077259985,0.814175473391909,1.19151498603571,3.44031230903994,3.25670189356764
"1995Q3",1995-07-01,1995-07-01,11450.31,152.6,152.866666666667,5.87,0.847127226070654,0.525625388882656,0.502788249044794,3.38850890428262,2.10250155553062,2.01115299617918
"1995Q4",1995-10-01,1995-10-01,11528.067,153.5,153.7,5.76272727272727,0.67678667469302,0.588044817689504,0.543656878885557,2.70714669877208,2.35217927075801,2.17462751554223
"1996Q1",1996-01-01,1996-01-01,11614.418,154.7,155.066666666667,5.59869565217391,0.746258673100009,0.778719055176857,0.885248143184914,2.98503469240003,3.11487622070743,3.54099257273965
"1996Q2",1996-04-01,1996-04-01,11808.14,156.1,156.4,5.26681818181818,1.65418668089075,0.900906994236639,0.856169613481139,6.61674672356298,3.60362797694656,3.42467845392456
"1996Q3",1996-07-01,1996-07-01,11914.063,157,157.3,5.45260869565217,0.893034293271278,0.57489778269213,0.5737981953021,3.57213717308511,2.29959113076852,2.2951927812084
"1996Q4",1996-10-01,1996-10-01,12037.775,158.2,158.666666666667,5.2695652173913,1.03301550493686,0.761424998524607,0.865075549907868,4.13206201974745,3.04569999409843,3.46030219963147
"1997Q1",1997-01-01,1997-01-01,12115.472,159.4,159.633333333333,5.29,0.643369133807603,0.755671102256095,0.60739531171432,2.57347653523041,3.02268440902438,2.42958124685728
"1997Q2",1997-04-01,1997-04-01,12317.221,159.9,160,5.54636363636364,1.65150510026741,0.313185348379363,0.229429655337299,6.60602040106966,1.25274139351745,0.917718621349195
"1997Q3",1997-07-01,1997-07-01,12471.01,160.4,160.8,5.55739130434783,1.24083863193789,0.312207559250588,0.498754151103942,4.96335452775156,1.24883023700235,1.99501660441577
"1997Q4",1997-10-01,1997-10-01,12577.495,161.5,161.666666666667,5.51826086956522,0.850235504937125,0.68344472302968,0.53752455245073,3.4009420197485,2.73377889211872,2.15009820980292
"1998Q1",1998-01-01,1998-01-01,12703.742,162,162,5.52818181818182,0.998748988635079,0.309119256967261,0.205973296301032,3.99499595454031,1.23647702786904,0.823893185204128
"1998Q2",1998-04-01,1998-04-01,12821.339,162.2,162.533333333333,5.45545454545455,0.921429648192174,0.123380644892901,0.328677370662334,3.68571859276869,0.493522579571604,1.31470948264933
"1998Q3",1998-07-01,1998-07-01,12982.752,163.2,163.366666666667,5.56652173913043,1.25108150769364,0.614630084869372,0.511405430838519,5.00432603077456,2.45852033947749,2.04562172335407
"1998Q4",1998-10-01,1998-10-01,13191.67,163.9,164.133333333333,5.08409090909091,1.59638624905245,0.42800432197776,0.468194239479658,6.3855449962098,1.71201728791104,1.87277695791863
"1999Q1",1999-01-01,1999-01-01,13315.597,164.7,164.733333333333,4.65761904761905,0.935048512744707,0.486915143381061,0.364889924421075,3.74019405097883,1.94766057352425,1.4595596976843
"1999Q2",1999-04-01,1999-04-01,13426.748,165.9,165.966666666667,4.76136363636364,0.831278184957007,0.725956001280448,0.745896009362745,3.32511273982803,2.90382400512179,2.98358403745098
"1999Q3",1999-07-01,1999-07-01,13604.771,166.7,167.2,5.01409090909091,1.31717032857814,0.481059256034921,0.740373567057429,5.26868131431257,1.92423702413969,2.96149426822971
"1999Q4",1999-10-01,1999-10-01,13827.98,168.1,168.433333333333,5.19809523809524,1.62735356710666,0.836325065782173,0.734932297915236,6.50941426842664,3.34530026312869,2.93972919166094
"2000Q1",2000-01-01,2000-01-01,13878.147,169.3,170.1,5.55714285714286,0.362136900805154,0.711324872451957,0.984647577206221,1.44854760322062,2.84529948980783,3.93859030882489
"2000Q2",2000-04-01,2000-04-01,14130.908,170.9,171.433333333333,6.0095,1.80490103449795,0.94063009824561,0.780796471094547,7.21960413799181,3.76252039298244,3.12318588437819
"2000Q3",2000-07-01,2000-07-01,14145.312,172.7,173,6.54285714285714,0.101880670371735,1.04773950310868,0.909713038501803,0.407522681486938,4.19095801243472,3.63885215400721
"2000Q4",2000-10-01,2000-10-01,14229.765,173.9,174.233333333333,6.51772727272727,0.595263578489025,0.692443620760486,0.710380255298748,2.3810543139561,2.76977448304194,2.84152102119499
"2001Q1",2001-01-01,2001-01-01,14183.12,175.6,175.9,5.99434782608696,-0.328337244914323,0.972825984077907,0.952025469274531,-1.31334897965729,3.89130393631163,3.80810187709812
"2001Q2",2001-04-01,2001-04-01,14271.694,176.4,177.133333333333,4.81380952380952,0.622560991477172,0.454546237167452,0.698709291409116,2.49024396590869,1.81818494866981,2.79483716563647
"2001Q3",2001-07-01,2001-07-01,14214.516,177.4,177.633333333333,3.77681818181818,-0.401443904181775,0.56529263027878,0.281875597702363,-1.6057756167271,2.26117052111512,1.12750239080945
