"prior","inflation_mean","inflation_sd","unemployment_mean","unemployment_sd","tbill_rate_mean","tbill_rate_sd","inflation_mean_paper","inflation_sd_paper","unemployment_mean_paper","unemployment_sd_paper","tbill_rate_mean_paper","tbill_rate_sd_paper","inflation_mean_diff","inflation_sd_diff","unemployment_mean_diff","unemployment_sd_diff","tbill_rate_mean_diff","tbill_rate_sd_diff"
"minnesota",3.11069873549482,0.319134484601789,4.61503781507527,0.327326907685671,4.35465572029351,0.818732431244538,3.124,0.302,4.628,0.319,4.35,0.741,-0.0133012645051758,0.0171344846017887,-0.012962184924727,0.00832690768567074,0.00465572029350625,0.0777324312445384
"natural_conjugate",3.10387405728021,0.312854454644757,4.60666131699261,0.315690427493673,4.38797250529308,0.759197833058343,3.106,0.313,4.611,0.314,4.38,0.748,-0.00212594271979238,-0.000145545355243082,-0.00433868300739348,0.0016904274936731,0.00797250529307636,0.0111978330583427
"noninformative",3.10266350800649,0.316958889325208,4.61098249469889,0.317189879246297,4.38021836253658,0.782526902086595,3.105,0.315,4.61,0.318,4.382,0.776,-0.00233649199350738,0.00195888932520782,0.000982494698886782,-0.000810120753703403,-0.00178163746341919,0.00652690208659468
"true_value",3.2754457,NA,4.7,NA,4.6,NA,3.275,NA,4.7,NA,4.6,NA,0.000445700000000215,NA,0,NA,0,NA
