"prior","inflation_mean","inflation_sd","unemployment_mean","unemployment_sd","tbill_rate_mean","tbill_rate_sd"
"noninformative",3.10266350800649,0.316958889325208,4.61098249469889,0.317189879246297,4.38021836253658,0.782526902086595
"minnesota",3.11069873549482,0.319134484601789,4.61503781507527,0.327326907685671,4.35465572029351,0.818732431244538
"natural_conjugate",3.10387405728021,0.312854454644757,4.60666131699261,0.315690427493673,4.38797250529308,0.759197833058343
"true_value",3.2754457,NA,4.7,NA,4.6,NA
