"window","coefficient","mean","sd","min","max"
60,"inflation_lag1",0.0109841053335436,0.0282371964441712,-0.0416589278132467,0.157830358764443
60,"unemployment_lag1",-0.369088665352353,0.578705636715041,-2.94053919151349,0.455098358938037
120,"inflation_lag1",0.0115623440049091,0.0193853951078824,-0.0153731476797811,0.0828501714444408
120,"unemployment_lag1",-0.399560320313071,0.416776033938459,-1.59954484980324,0.0673146484514655
180,"inflation_lag1",0.0113161453973927,0.0172382207348211,-0.0200116610484169,0.0666960027863952
180,"unemployment_lag1",-0.457307823217856,0.421591449220082,-1.46709939977179,0.0407838327785765
