"lambda","log_marginal_likelihood"
0.05,-6036.03031419269
0.1,-5941.411193094
0.15,-5906.96686025794
0.2,-5892.18918703555
0.25,-5886.0037890305
0.3,-5884.07863824178
0.35,-5884.42983822574
0.4,-5886.05203098168
0.45,-5888.39676437482
0.5,-5891.14827128154
0.55,-5894.11759890983
0.6,-5897.18865019283
0.65,-5900.2889294207
0.7,-5903.37287378946
0.75,-5906.4119687422
0.8,-5909.3886932749
0.85,-5912.29271188069
0.9,-5915.11842699073
0.95,-5917.86337759907
1,-5920.52717623668
