quarter,gdp,gdp_deflator,tbill_3m,investment,sp500,spread_baa_fedfunds,spread_baa_10y,credit_real_estate_ratio,mortgage_rate,cpi,pce,employment,industrial_production,treasury_1y,djia
1989:Q2,9.123801610558944,4.1141798687228714,8.15,7.13912728352913,1.3940592087231485,0.5,1.9299999999999997,-0.09601590315922845,10.07,4.821087692210561,4.106849383360575,11.67349549659967,4.151334350734487,8.12,1.895129755144718
1989:Q3,9.131178109929952,4.121570548475692,7.75,7.130108117765573,1.4185538967341131,0.8900000000000006,1.5999999999999996,-0.1089672722209639,10.16,4.826712455935327,4.11157853386808,11.672950286765573,4.147812656683326,8.48,1.9114020484111607
1989:Q4,9.133146103644707,4.128375549965018,7.63,7.1226626055236055,1.4121786669894305,1.370000000000001,1.8900000000000006,-0.10623561234272007,9.78,4.838660029356445,4.120548227718737,11.676998186707387,4.1564848975093875,7.76,1.9120759995839167
1990:Q1,9.14401892904439,4.139206385634031,7.9,7.132543876465627,1.4003411142817104,1.9300000000000015,1.5600000000000005,-0.09654923595923495,10.22,4.856706811803519,4.136253965299311,11.688583201081919,4.16446124643935,8.35,1.9060016156967627
1990:Q2,9.147645483636104,4.150330993262128,7.73,7.132856113567122,1.3978436834479053,1.9300000000000015,1.790000000000001,-0.08650578801169427,10.15,4.866764923676554,4.145005990357544,11.686735904745756,4.16827787626684,8.05,1.9113154736007947
1990:Q3,9.14830538105665,4.158945581406629,7.36,7.113280535607727,1.412702300480021,2.4400000000000013,1.8200000000000003,-0.0836691354219476,10.22,4.886582645426277,4.160225931335614,11.682870750696127,4.171529343758578,7.69,1.9034319828964645
1990:Q4,9.139155814785495,4.166556690780449,6.74,7.055713108348132,1.3721228644402172,3.12,2.3499999999999996,-0.07537353539486258,9.68,4.8993312245375815,4.168137008412264,11.680480193521095,4.145661689658975,6.82,1.8796760127838386
1991:Q1,9.13447393154606,4.176231721694285,5.91,7.021872938681261,1.3984947525673428,3.9699999999999998,2.039999999999999,-0.07514122261678753,9.52,4.9037921984782065,4.172647295479274,11.675486393586029,4.129051900275834,6.28,1.898364049931113
1991:Q2,9.142232822761505,4.18340799896286,5.57,7.021869370062976,1.41699277849271,4.0600000000000005,1.7200000000000006,-0.07251422262568435,9.67,4.912654885736052,4.180277580213828,11.675375892121771,4.150050440160885,6.32,1.9091294977650433
1991:Q3,9.147272768508607,4.1910477107887445,5.22,7.041475528772023,1.4222017834872636,4.06,2.04,-0.06953380136270763,8.92,4.919980925828125,4.18760719268179,11.677829547727114,4.160959052044792,5.42,1.9096126983302288
1991:Q4,9.150760204527339,4.196840980265277,4.07,7.0763201449172675,1.4230786082401594,4.83,2.55,-0.074254517586547,8.35,4.92870191133357,4.1941748141218085,11.673904208991047,4.1540856565881805,4.12,1.905326590119524
1992:Q1,9.162651101600742,4.200849422867372,4.04,7.057674160224146,1.4314251646388076,5.27,1.71,-0.07745787220549441,8.98,4.935193098929397,4.200474781582017,11.679659498422469,4.163889281413095,4.54,1.923401856036038
1992:Q2,9.17343776992604,4.20679488569179,3.66,7.11268597863695,1.4329574402468526,5.290000000000001,1.910000000000001,-0.07164215533624929,8.43,4.942356453342962,4.206288360444085,11.681984461530606,4.174841013092467,4.05,1.9281026134867958
1992:Q3,9.183277452426493,4.2115644763923745,2.91,7.120603615977712,1.436575089744631,5.399999999999999,2.249999999999999,-0.07430394117693494,8.02,4.9494688588587685,4.212542326681419,11.684523058401208,4.181225375133057,3.06,1.924513348733676
1992:Q4,9.193651890689948,4.218580805148734,3.22,7.150658319407186,1.4310753269484509,5.890000000000001,2.1100000000000003,-0.08232926553001041,8.14,4.957937505095806,4.219772376030039,11.686853561691853,4.193845946644894,3.61,1.9159253483459688
1993:Q1,9.19532825185568,4.224509879298847,2.95,7.173960618604726,1.4401666281629555,5.08,2.12,-0.07616425974554066,7.5,4.964940334834126,4.225767483582519,11.691423053039692,4.201190973390209,3.32,1.9213309643537322
1993:Q2,9.201128068713642,4.2303894600109215,3.07,7.179697375383039,1.4389234157820943,5.03,2.2700000000000005,-0.0662970853894765,7.34,4.971894465779825,4.231857600896336,11.697660772988119,4.202871559281991,3.45,1.9262668293943666
1993:Q3,9.205890485902552,4.2353955285213,2.95,7.1728826456413355,1.4414435033944084,4.25,1.9399999999999995,-0.0663684275727511,6.95,4.976733742420574,4.236191286450337,11.699853064311425,4.209672735315662,3.39,1.9311915001110924
1993:Q4,9.219399216464529,4.241254807536722,3.06,7.224095505495178,1.449595759051947,4.73,1.8600000000000003,-0.06687218396754856,7.13,4.9856593080260785,4.241456240589689,11.707373201562024,4.22691257427788,3.63,1.9345748395856481
1994:Q1,9.229063985974285,4.2463644019927616,3.5,7.261477869009878,1.454687839555125,4.790000000000001,1.3600000000000012,-0.06099001748129338,7.8,4.991112627607392,4.24685103393687,11.71120238855431,4.240990005230243,4.5,1.944647155951386
1994:Q2,9.242517103671403,4.2511203648260825,4.14,7.309487428261192,1.4375663915828976,4.4,1.3100000000000005,-0.05390689943849262,8.46,4.996536369716754,4.251932186127568,11.716959588669832,4.25811029746779,5.51,1.9334294559195797
1994:Q3,9.248348812161888,4.256435066625617,4.62,7.293016999500442,1.4395701127161462,4.25,1.3600000000000003,-0.052115316515798246,8.82,5.005957704545144,4.2584738610455535,11.725509459891072,4.269371522465577,5.96,1.9350691303960017
1994:Q4,9.25973987427095,4.2620035920741515,5.6,7.333334077112566,1.4447947082133783,3.6499999999999995,1.2599999999999998,-0.03445695378662769,9.18,5.011301738639416,4.262722129669787,11.733834521659745,4.294395520232117,7.2,1.9348769574307505
1995:Q1,9.263274319755618,4.267681432889021,5.73,7.343780629470813,1.4419131346740848,2.719999999999999,1.4999999999999991,-0.03125535212904269,8.38,5.018603463745433,4.268353890185305,11.735708951468881,4.296034283755324,6.49,1.939350688639387
1995:Q2,9.266257460134543,4.272574426112799,5.47,7.322791768263319,1.4613212111892673,1.9000000000000004,1.6900000000000004,-0.014863027286827429,7.53,5.026508643252546,4.27349442785042,11.732237686103396,4.302174117246367,5.65,1.959176192561718
1995:Q3,9.274732007326564,4.277041048721128,5.28,7.3168132583249355,1.4803712505060298,2.13,1.7599999999999998,-0.012195793247095257,7.62,5.031091302663638,4.277582365800408,11.737132450637635,4.31473365683441,5.65,1.9748186484412156
1995:Q4,9.281497566292511,4.281750394377799,5.14,7.34134450370449,1.486684272935937,1.8900000000000006,1.9100000000000001,-0.010003463146728949,7.11,5.0363030408448335,4.28206816830505,11.736772768592681,4.319825379999797,5.18,1.9848605867610645
1996:Q1,9.28895744853581,4.286341384539473,4.96,7.357275549286472,1.5059999730003129,2.7199999999999998,1.6899999999999995,-0.0011720695267631812,7.69,5.0466457316192885,4.288869136187632,11.742941347626845,4.327611366731277,5.41,2.002857382339401
1996:Q2,9.305495994382582,4.290418344413521,5.09,7.404207295616347,1.5111270594297064,3.130000000000001,1.67,0.00035508870700358283,8.29,5.054333149361975,4.293577861488768,11.74880358635574,4.352429169184924,5.7,2.0118676035252583
