"variable","observations","mean_absolute_difference","max_absolute_difference","correlation"
"inflation",215,0.159221482256893,0.647561364335726,0.998218769911367
"unemployment",215,0.115193798449612,0.6,0.994420573931279
"tbill_rate",215,0.224387596899225,3.58333333333333,0.988244305825531
