"quarter","inflation_author","unemployment_author","tbill_rate_author","inflation_fred","unemployment_fred","tbill_rate_fred","inflation_diff","unemployment_diff","tbill_rate_diff"
"1953Q1",1.6851416,2.9,1.96,1.58135825448897,2.7,1.98,-0.103783345511026,-0.2,0.02
"1953Q2",1.4489523,2.7,2.19,1.44135818639715,2.56666666666667,2.15333333333333,-0.00759411360285411,-0.133333333333333,-0.0366666666666666
"1953Q3",1.0120002,2.6,2.04,1.06002784159966,2.73333333333333,1.95666666666667,0.0480276415996646,0.133333333333333,-0.0833333333333333
"1953Q4",0.98077029,3.1,1.38,1.00451010207752,3.7,1.47333333333333,0.023739812077516,0.6,0.0933333333333335
"1954Q1",1.332379,4.9,1.18,1.32845472910761,5.26666666666667,1.06,-0.00392427089239122,0.366666666666666,-0.12
"1954Q2",1.2964184,5.9,0.97,1.2738082330026,5.8,0.79,-0.0226101669973955,-0.100000000000001,-0.18
"1954Q3",0.90879229,5.8,0.72,0.813493615023964,5.96666666666667,0.883333333333333,-0.0952986749760364,0.166666666666667,0.163333333333333
"1954Q4",0.70933595,5.7,0.98,0.649400850580673,5.33333333333333,1.02,-0.0599350994193275,-0.366666666666667,0.04
"1955Q1",0.68459658,4.9,1.22,0.602721412984009,4.73333333333333,1.22333333333333,-0.0818751670159914,-0.166666666666667,0.00333333333333341
"1955Q2",1.0629067,4.7,1.59,0.973974233033825,4.4,1.48333333333333,-0.0889324669661749,-0.3,-0.106666666666667
"1955Q3",1.8391927,4,1.6,1.74501562262335,4.1,1.85666666666667,-0.0941770773766528,0.0999999999999996,0.256666666666667
"1955Q4",2.3893374,4.3,2.23,2.27621360611807,4.23333333333333,2.33666666666667,-0.113123793881929,-0.0666666666666664,0.106666666666667
"1956Q1",2.9949814,4,2.41,2.88200221629751,4.03333333333333,2.32666666666667,-0.112979183702492,0.0333333333333332,-0.0833333333333335
"1956Q2",3.3751878,4,2.6,3.26205488667957,4.2,2.56666666666667,-0.113132913320434,0.2,-0.0333333333333332
"1956Q3",3.8037398,4.4,2.31,3.68069967273499,4.13333333333333,2.58333333333333,-0.123040127265011,-0.266666666666667,0.273333333333333
"1956Q4",3.7358451,3.9,2.9,3.62906043489533,4.13333333333333,3.03333333333333,-0.106784665104674,0.233333333333333,0.133333333333333
"1957Q1",3.9086241,4.2,3.11,3.7864260547869,3.93333333333333,3.09666666666667,-0.122198045213104,-0.266666666666667,-0.0133333333333332
"1957Q2",3.6646769,3.9,3.07,3.55460570502912,4.1,3.14,-0.110071194970876,0.2,0.0700000000000003
"1957Q3",3.2794457,4.2,3.16,3.21955253596276,4.23333333333333,3.35333333333333,-0.0598931640372449,0.0333333333333332,0.193333333333333
"1957Q4",3.1932259,4.5,3.58,3.19350282013495,4.93333333333333,3.31,0.000276920134952618,0.433333333333334,-0.27
"1958Q1",2.8993546,5.8,2.44,2.89189803312175,6.3,1.75666666666667,-0.00745656687824647,0.5,-0.683333333333333
"1958Q2",2.633819,7.4,1.13,2.61360571978728,7.36666666666667,0.956666666666667,-0.020213280212718,-0.0333333333333332,-0.173333333333333
"1958Q3",2.1367521,7.5,0.91,2.08577653000663,7.33333333333333,1.68,-0.0509755699933665,-0.166666666666667,0.77
"1958Q4",1.769649,6.7,2.63,1.62540215764122,6.36666666666667,2.69,-0.14424684235878,-0.333333333333333,0.06
"1959Q1",1.3377763,6,2.82,1.25746196940342,5.83333333333333,2.77333333333333,-0.0803143305965828,-0.166666666666667,-0.0466666666666664
"1959Q2",1.0440552,5.2,2.95,1.12108797492168,5.1,3,0.077032774921675,-0.100000000000001,0.0499999999999998
"1959Q3",1.0508903,5.1,3.2,1.30798144595103,5.26666666666667,3.54,0.257091145951034,0.166666666666667,0.34
"1959Q4",1.2871576,5.7,4.05,1.56688556581326,5.6,4.23,0.279727965813259,-0.100000000000001,0.180000000000001
"1960Q1",1.0783366,5.2,4.35,1.28730499877303,5.13333333333333,3.87333333333333,0.208968398773031,-0.0666666666666664,-0.476666666666667
"1960Q2",1.371252,5.2,3.23,1.35480480373062,5.23333333333333,2.99333333333333,-0.0164471962693751,0.0333333333333332,-0.236666666666667
"1960Q3",1.5551276,5.5,2.3,1.3619770815728,5.53333333333333,2.36,-0.193150518427204,0.0333333333333332,0.06
"1960Q4",1.5968925,6.1,2.3,1.41452382747973,6.26666666666667,2.30666666666667,-0.18236867252027,0.166666666666667,0.00666666666666682
"1961Q1",1.4686887,6.6,2.24,1.34143634102823,6.8,2.35,-0.127252358971765,0.2,0.11
"1961Q2",1.2098119,7,2.29,1.1833696521923,7,2.30333333333333,-0.0264422478076991,0,0.0133333333333332
"1961Q3",1.0050728,7,2.24,0.961607512401308,6.76666666666667,2.30333333333333,-0.0434652875986921,-0.233333333333333,0.063333333333333
"1961Q4",0.82129708,6.5,2.3,0.753949006227028,6.2,2.46,-0.0673480737729718,-0.3,0.16
"1962Q1",1.282414,5.8,2.72,1.13384232732603,5.63333333333333,2.72333333333333,-0.148571672673971,-0.166666666666667,0.00333333333333341
"1962Q2",1.360064,5.6,2.73,1.20743713995357,5.53333333333333,2.71666666666667,-0.152626860046429,-0.0666666666666664,-0.0133333333333332
"1962Q3",1.3658766,5.4,2.92,1.23642319500323,5.56666666666667,2.84,-0.129453404996767,0.166666666666666,-0.0800000000000001
"1962Q4",1.4559925,5.4,2.74,1.24618116486936,5.53333333333333,2.81333333333333,-0.209811335130636,0.133333333333333,0.0733333333333333
"1963Q1",1.163765,5.7,2.91,1.24006247112041,5.76666666666667,2.90666666666667,0.0762974711204067,0.0666666666666664,-0.00333333333333341
"1963Q2",1.0028786,5.7,2.9,1.05561771949345,5.73333333333333,2.94,0.0527391194934512,0.0333333333333332,0.04
"1963Q3",0.91683645,5.6,3.18,0.922070199215952,5.5,3.29333333333333,0.00523374921595188,-0.0999999999999996,0.113333333333333
"1963Q4",1.1628444,5.5,3.45,1.3363505977638,5.56666666666667,3.49666666666667,0.173506197763802,0.0666666666666664,0.0466666666666664
"1964Q1",1.237806,5.6,3.52,1.22487308738428,5.46666666666667,3.53,-0.0129329126157183,-0.133333333333333,0.00999999999999979
"1964Q2",1.466397,5.3,3.47,1.42735450471703,5.2,3.47666666666667,-0.0390424952829733,-0.0999999999999996,0.00666666666666638
"1964Q3",1.7711297,4.9,3.46,1.81288801019162,5,3.49666666666667,0.0417583101916157,0.0999999999999996,0.0366666666666666
"1964Q4",1.6375496,5.1,3.57,1.58162009541352,4.96666666666667,3.68333333333333,-0.0559295045864838,-0.133333333333333,0.113333333333333
"1965Q1",1.722649,4.9,3.81,1.64259638257334,4.9,3.89,-0.0800526174266643,0,0.0800000000000001
"1965Q2",1.8393512,4.8,3.93,1.81956418249443,4.66666666666667,3.87333333333333,-0.0197870175055737,-0.133333333333334,-0.0566666666666666
"1965Q3",1.7944094,4.4,3.84,1.78060673580629,4.36666666666667,3.86666666666667,-0.0138026641937106,-0.0333333333333332,0.0266666666666668
"1965Q4",1.9522485,4.2,4.03,2.01282143732486,4.1,4.16666666666667,0.0605729373248631,-0.100000000000001,0.136666666666667
"1966Q1",2.1313673,4,4.59,2.18269194854099,3.86666666666667,4.61,0.0513246485409935,-0.133333333333333,0.0200000000000005
"1966Q2",2.6335691,3.8,4.62,2.61569910775039,3.83333333333333,4.58666666666667,-0.0178699922496088,0.0333333333333332,-0.0333333333333332
"1966Q3",3.1667995,3.8,4.8,3.03736719630194,3.76666666666667,5.04333333333333,-0.129432303698057,-0.0333333333333332,0.243333333333333
"1966Q4",3.437954,3.7,5.35,3.19768154331417,3.7,5.21,-0.240272456685832,0,-0.14
"1967Q1",3.2987706,3.9,4.72,3.00558667711575,3.83333333333333,4.51333333333333,-0.293183922884254,-0.0666666666666669,-0.206666666666667
"1967Q2",2.9820987,3.8,3.84,2.70404612957362,3.83333333333333,3.66,-0.278052570426377,0.0333333333333332,-0.18
"1967Q3",2.9365045,3.8,4.21,2.72631507583641,3.8,4.3,-0.210189424163595,0,0.0899999999999999
"1967Q4",3.1662269,4,4.56,3.00864708194237,3.9,4.75333333333333,-0.157579818057627,-0.1,0.193333333333333
"1968Q1",3.7779001,3.7,5,3.67736401391618,3.73333333333333,5.05,-0.100536086083816,0.0333333333333332,0.0499999999999998
"1968Q2",4.2846921,3.5,5.38,4.1964199099032,3.56666666666667,5.52,-0.088272190096796,0.0666666666666669,0.14
"1968Q3",4.3374901,3.7,5.31,4.25240761743102,3.53333333333333,5.19666666666667,-0.0850824825689802,-0.166666666666667,-0.113333333333333
"1968Q4",4.6407062,3.4,5.35,4.54073825316934,3.4,5.58666666666667,-0.0999679468306596,0,0.236666666666667
"1969Q1",4.5667877,3.4,6.14,4.45025564673536,3.4,6.09333333333333,-0.116532053264643,0,-0.0466666666666669
"1969Q2",4.7988053,3.4,6.11,4.64374903614813,3.43333333333333,6.19666666666667,-0.155056263851874,0.0333333333333332,0.0866666666666669
"1969Q3",5.3083903,3.5,7,5.10425954266385,3.56666666666667,7.02333333333333,-0.204130757336153,0.0666666666666669,0.0233333333333334
"1969Q4",5.1681318,3.7,7,4.96420150779753,3.56666666666667,7.35333333333333,-0.203930292202473,-0.133333333333333,0.353333333333333
"1970Q1",5.5772383,3.9,7.87,5.33584196336099,4.16666666666667,7.21,-0.241396336639013,0.266666666666667,-0.66
"1970Q2",5.6651005,4.6,6.51,5.45729270514874,4.76666666666667,6.67666666666667,-0.207807794851258,0.166666666666667,0.166666666666667
"1970Q3",4.9724805,5,6.45,4.86126126050319,5.16666666666667,6.32666666666667,-0.111219239496808,0.166666666666667,-0.123333333333333
"1970Q4",4.9891296,5.5,5.91,4.91456487400321,5.83333333333333,5.35333333333333,-0.0745647259967868,0.333333333333333,-0.556666666666667
"1971Q1",5.0940815,5.9,4.44,5.05110685367369,5.93333333333333,3.84,-0.0429746463263072,0.0333333333333332,-0.6
"1971Q2",5.0005467,5.9,3.86,4.95263555840353,5.9,4.25,-0.0479111415964715,0,0.39
"1971Q3",5.214247,6,5.4,5.1384540101223,6.03333333333333,5.01,-0.075792989877705,0.0333333333333332,-0.39
"1971Q4",4.7127709,5.8,4.46,4.66572174700719,5.93333333333333,4.23,-0.0470491529928099,0.133333333333334,-0.23
"1972Q1",4.8717859,5.8,3.38,4.75332366200734,5.76666666666667,3.43666666666667,-0.118462237992664,-0.0333333333333332,0.0566666666666666
"1972Q2",4.0959422,5.7,3.71,4.03031661518067,5.7,3.77,-0.0656255848193261,0,0.06
"1972Q3",4.0107228,5.6,3.98,3.9278377668357,5.56666666666667,4.22,-0.0828850331643043,-0.0333333333333332,0.24
"1972Q4",4.4017866,5.6,4.74,4.23078788946798,5.36666666666667,4.86333333333333,-0.170998710532021,-0.233333333333333,0.123333333333333
"1973Q1",4.0618501,4.9,5.41,3.90184024120899,4.93333333333333,5.7,-0.160009858791013,0.0333333333333332,0.29
