"rep","lags","lambda_min","best_lambda","best_log_mdd"
81,1,0.09,5,-316.064381391308
82,1,0.09,10,-292.056191995798
83,1,0.09,1,-310.603324401284
84,1,0.09,10,-331.971234969856
85,1,0.09,5,-293.449365325354
86,1,0.09,1,-317.83741223819
87,1,0.09,10,-318.424898284637
88,1,0.09,1,-328.671427342824
89,1,0.09,5,-320.801160036093
90,1,0.09,10,-320.906500281933
91,1,0.09,10,-305.357665927441
92,1,0.09,10,-301.439573419579
93,1,0.09,10,-316.299668619553
94,1,0.09,10,-314.374842115922
95,1,0.09,10,-311.758967622541
96,1,0.09,5,-317.138719118905
97,1,0.09,5,-337.590941649449
98,1,0.09,1,-297.200671919652
99,1,0.09,0.45,-300.71072459842
100,1,0.09,10,-301.749551409133
1,2,0.13,10,-231.863336930814
2,2,0.13,10,-228.851388293713
3,2,0.13,10,-225.233182935648
4,2,0.13,10,-218.766357050159
5,2,0.13,10,-207.251946990576
6,2,0.13,10,-215.663514964144
7,2,0.13,10,-233.533912674935
8,2,0.13,10,-223.86618743193
9,2,0.13,5,-215.704358626073
10,2,0.13,10,-221.677866700835
11,2,0.13,10,-229.627443217305
12,2,0.13,10,-213.684386545437
13,2,0.13,5,-213.511902807283
14,2,0.13,5,-225.315409861672
15,2,0.13,10,-219.71377432614
16,2,0.13,5,-200.926876064901
17,2,0.13,10,-214.769025926035
18,2,0.13,5,-199.713880807999
19,2,0.13,10,-222.98173176776
20,2,0.13,10,-223.267242914906
21,2,0.13,1,-257.844397827602
22,2,0.13,10,-221.765941531239
23,2,0.13,10,-215.776033351895
24,2,0.13,10,-225.617712013384
25,2,0.13,10,-232.534315948706
26,2,0.13,5,-240.404886560127
27,2,0.13,5,-232.077989518715
28,2,0.13,10,-218.407898627287
29,2,0.13,10,-210.100424861036
30,2,0.13,10,-235.798617728037
31,2,0.13,10,-236.335020539689
32,2,0.13,10,-221.132470994127
33,2,0.13,10,-216.448594346977
34,2,0.13,10,-236.147335166647
35,2,0.13,10,-223.015902910646
36,2,0.13,10,-215.836067848005
37,2,0.13,10,-214.02920841649
38,2,0.13,5,-236.147329269851
39,2,0.13,10,-205.058980010997
40,2,0.13,10,-223.273289605955
41,2,0.13,5,-213.915913264775
42,2,0.13,10,-214.280351287784
43,2,0.13,10,-225.731187427405
44,2,0.13,10,-231.368362959597
45,2,0.13,1,-210.992951227692
46,2,0.13,10,-220.24334139026
47,2,0.13,10,-225.715541845739
48,2,0.13,5,-231.605812303307
49,2,0.13,10,-226.837529059783
50,2,0.13,10,-234.200416756314
51,2,0.13,10,-224.456083354134
52,2,0.13,10,-205.165119121902
53,2,0.13,10,-204.746408003628
54,2,0.13,5,-245.59179751179
55,2,0.13,1,-238.273007364165
56,2,0.13,5,-225.299866278908
57,2,0.13,5,-212.798378901036
58,2,0.13,10,-232.408411671295
59,2,0.13,5,-199.236508992561
60,2,0.13,10,-230.420741216282
61,2,0.13,5,-201.09257813931
62,2,0.13,10,-241.77960131202
63,2,0.13,10,-227.823818903117
64,2,0.13,5,-224.080207701247
65,2,0.13,10,-224.066949211159
66,2,0.13,1,-200.639070020689
67,2,0.13,10,-218.566564648084
68,2,0.13,5,-219.278162483914
69,2,0.13,10,-212.932011194858
70,2,0.13,5,-255.461628345517
71,2,0.13,5,-223.807745480079
72,2,0.13,1,-256.082836270995
73,2,0.13,5,-220.746425518489
74,2,0.13,10,-204.133957933901
75,2,0.13,10,-212.594600763447
76,2,0.13,5,-215.45673249016
77,2,0.13,10,-224.726442906155
78,2,0.13,5,-241.905135824998
79,2,0.13,10,-215.972306321552
80,2,0.13,5,-241.601597701111
81,2,0.13,10,-202.639397345333
82,2,0.13,10,-218.26304433458
83,2,0.13,5,-230.213415557283
84,2,0.13,5,-209.714479842563
85,2,0.13,10,-224.975541352253
86,2,0.13,5,-251.09634785391
87,2,0.13,5,-233.637296543039
88,2,0.13,10,-222.493824977194
89,2,0.13,5,-238.756695720394
90,2,0.13,5,-202.445153755656
91,2,0.13,10,-225.621593115905
92,2,0.13,10,-215.70016147546
93,2,0.13,10,-211.914192260375
94,2,0.13,1,-192.067593675447
95,2,0.13,10,-201.047848681711
96,2,0.13,10,-219.938791652558
97,2,0.13,1,-204.046269306964
98,2,0.13,10,-238.504956116152
99,2,0.13,10,-224.005039087398
100,2,0.13,10,-217.187040399631
1,3,0.17,10,-189.64814841024
2,3,0.17,10,-207.032018016296
3,3,0.17,10,-195.319997311507
4,3,0.17,10,-193.094190033175
5,3,0.17,10,-213.290282748879
6,3,0.17,10,-196.017653792464
7,3,0.17,10,-205.677783307722
8,3,0.17,5,-213.94217420022
9,3,0.17,10,-212.586462246378
10,3,0.17,10,-200.24837971829
11,3,0.17,10,-203.14540559405
12,3,0.17,10,-213.460762358754
13,3,0.17,10,-205.783074987721
14,3,0.17,10,-207.270629954312
15,3,0.17,10,-214.016910105674
16,3,0.17,10,-197.970250052019
17,3,0.17,10,-224.073555504307
18,3,0.17,10,-241.539812851473
19,3,0.17,5,-216.229074534799
20,3,0.17,10,-217.433915620736
21,3,0.17,10,-208.719415928093
22,3,0.17,10,-203.911864547734
23,3,0.17,5,-220.737144618058
24,3,0.17,10,-218.877045383906
25,3,0.17,10,-208.328826448109
26,3,0.17,10,-214.512059580409
27,3,0.17,10,-188.364999008713
28,3,0.17,10,-218.389909014897
29,3,0.17,10,-225.10971736856
30,3,0.17,10,-210.186403532977
31,3,0.17,10,-231.590182130409
32,3,0.17,5,-191.22984672248
33,3,0.17,5,-202.13659763422
34,3,0.17,10,-227.547209765085
35,3,0.17,5,-215.419971741918
36,3,0.17,5,-206.19759239628
37,3,0.17,10,-191.784152929714
38,3,0.17,5,-214.850457588275
39,3,0.17,10,-210.70847072161
40,3,0.17,5,-227.732452037322
41,3,0.17,10,-212.891865384764
42,3,0.17,10,-203.122572967438
43,3,0.17,10,-222.962257796827
44,3,0.17,10,-209.983073676886
45,3,0.17,10,-208.257787349053
46,3,0.17,10,-209.608250267134
47,3,0.17,10,-190.265872330135
48,3,0.17,10,-213.58716071078
49,3,0.17,10,-190.890741405908
50,3,0.17,10,-187.562408443414
51,3,0.17,10,-196.358230143251
52,3,0.17,10,-205.388435974576
53,3,0.17,10,-198.60713118786
54,3,0.17,10,-212.903996541261
55,3,0.17,10,-198.261806770619
56,3,0.17,5,-211.733973497598
57,3,0.17,10,-209.555945242106
58,3,0.17,10,-204.754974456865
59,3,0.17,1,-223.207129380881
60,3,0.17,10,-200.020394764012
61,3,0.17,5,-214.938748216362
62,3,0.17,10,-204.791782547544
63,3,0.17,5,-197.212089107667
64,3,0.17,10,-208.939937739447
65,3,0.17,5,-213.299221144437
66,3,0.17,10,-217.157920483501
67,3,0.17,5,-212.678771426411
68,3,0.17,10,-214.847258496168
69,3,0.17,5,-205.872513473885
70,3,0.17,10,-195.515275211013
71,3,0.17,10,-203.442555160941
72,3,0.17,10,-216.024846069941
73,3,0.17,10,-213.863191951573
74,3,0.17,10,-213.187852882816
75,3,0.17,10,-199.519362839473
76,3,0.17,10,-210.021927439259
77,3,0.17,10,-210.660133911134
78,3,0.17,10,-195.546315071743
79,3,0.17,10,-196.459056004805
80,3,0.17,10,-214.521180856382
81,3,0.17,10,-195.753024481721
82,3,0.17,10,-229.487416391825
83,3,0.17,10,-198.107571499267
