"rep","lags","lambda_min","best_lambda","best_log_mdd"
77,8,0.35,0.35,-746.225192442242
78,8,0.35,0.35,-749.709279586161
79,8,0.35,0.35,-734.427276658604
80,8,0.35,0.35,-739.937489226686
81,8,0.35,0.35,-734.150392469973
82,8,0.35,0.35,-772.206745891927
83,8,0.35,0.35,-764.285595752574
84,8,0.35,0.35,-728.686179339729
85,8,0.35,0.35,-776.548132267343
86,8,0.35,0.35,-740.056316474104
87,8,0.35,0.35,-752.071421039175
88,8,0.35,0.35,-735.947790437638
89,8,0.35,0.35,-715.174638660082
90,8,0.35,0.35,-728.825266096564
91,8,0.35,0.35,-762.647195061577
92,8,0.35,0.35,-751.956983417931
93,8,0.35,0.35,-721.245969246922
94,8,0.35,0.35,-738.247582043673
95,8,0.35,0.35,-734.520909838019
96,8,0.35,0.35,-760.482939996649
97,8,0.35,0.35,-774.695309123168
98,8,0.35,0.35,-764.750117200572
99,8,0.35,0.35,-737.430456873453
100,8,0.35,0.35,-766.492255693471
