"dataset","prior","kappa1","kappa2","log_ml"
"6var","symmetric",0.0220265435456308,0.0220265435456308,1604.5961984024
"6var","subjective",0.04,0.0016,1602.0055980811
"6var","asymmetric",0.103873695588141,0.00537664258021151,1611.76182644944
"15var","symmetric",0.00832128409091283,0.00832128409091283,4333.29859238798
"15var","subjective",0.04,0.0016,4329.76831057258
"15var","asymmetric",0.058098871841445,0.00427030064074,4341.55049037573
